iter	RMSE
0	11450.14213
1	11121.39109
2	10781.42628
3	10469.3973
4	10198.01751
5	9960.727686
6	9735.567327
7	9480.690128
8	9251.627517
9	9032.174015
10	8779.750631
11	8562.393946
12	8356.672613
13	8160.395816
14	7951.75448
15	7766.197799
16	7602.919805
17	7431.320695
18	7284.492641
19	7128.371476
20	6966.013261
21	6810.891327
22	6671.608601
23	6539.65791
24	6413.483986
25	6300.45416
26	6190.564587
27	6099.301236
28	6000.90993
29	5900.121168
30	5809.284877
31	5722.696081
32	5636.760201
33	5568.009278
34	5511.389673
35	5437.225464
36	5366.738671
37	5319.875606
38	5257.659351
39	5190.17645
40	5132.396739
41	5078.453915
42	5030.078103
43	4975.191009
44	4932.014135
45	4881.878104
46	4840.534188
47	4804.481944
48	4762.737948
49	4725.509383
50	4694.723608
51	4660.039808
52	4624.973436
53	4592.243382
54	4560.562031
55	4536.05108
56	4511.246793
57	4482.98234
58	4463.557249
59	4439.461959
60	4414.029762
61	4392.390834
62	4375.514295
63	4360.630582
64	4341.421943
65	4327.014369
66	4308.353669
67	4287.843346
68	4270.196141
69	4254.399566
70	4242.298396
71	4228.445377
72	4213.84498
73	4198.795726
74	4184.462068
75	4171.672298
76	4158.155213
77	4146.907815
78	4139.073769
79	4127.135498
80	4119.592489
81	4110.550241
82	4100.823386
83	4089.988643
84	4084.490193
85	4076.564943
86	4068.68731
87	4062.215091
88	4054.071733
89	4048.319405
90	4042.37925
91	4034.691576
92	4027.307732
93	4021.29784
94	4019.613816
95	4015.03704
96	4011.061657
97	4005.72856
98	3999.796156
99	3990.705888
100	3985.468873
101	3978.545508
102	3972.474561
103	3964.872739
104	3959.036955
105	3955.409622
106	3951.189318
107	3947.264096
108	3941.706428
109	3937.606164
110	3933.530546
111	3928.37887
112	3922.355041
113	3915.098036
114	3908.921189
115	3905.757736
116	3902.729639
117	3897.976963
118	3893.488903
119	3886.134566
120	3881.007579
121	3875.053878
122	3870.521335
123	3864.44039
124	3859.477417
125	3856.392535
126	3850.332128
127	3844.594402
128	3841.082729
129	3838.138532
130	3835.261382
131	3832.123108
132	3829.083309
133	3822.51259
134	3821.111948
135	3816.885093
136	3815.29838
137	3811.912894
138	3805.245823
139	3801.575662
140	3798.423242
141	3794.290488
142	3787.922552
143	3784.755607
144	3781.806037
145	3779.003852
146	3773.883362
147	3772.833827
148	3766.490532
149	3762.545704
150	3758.940313
151	3756.447737
152	3753.457806
153	3750.872894
154	3747.161089
155	3740.136622
156	3735.660914
157	3732.482246
158	3728.856603
159	3724.789805
160	3722.763492
161	3717.068409
162	3714.677005
163	3711.115072
164	3707.392373
165	3703.543925
166	3697.710064
167	3693.673026
168	3688.374229
169	3685.772164
170	3682.099341
171	3677.296085
172	3674.778318
173	3672.961999
174	3670.030104
175	3667.303047
176	3664.960289
177	3661.881157
178	3658.07586
179	3655.063641
180	3652.35617
181	3649.304196
182	3645.948977
183	3641.999917
184	3637.451892
185	3632.652966
186	3629.157868
187	3626.13805
188	3624.235123
189	3620.424574
190	3616.465054
191	3612.09703
192	3609.885173
193	3604.39795
194	3601.049674
195	3597.178019
196	3593.893573
197	3588.391516
198	3584.566157
199	3582.496054
200	3579.187764
201	3574.348935
202	3572.852461
203	3570.501822
204	3568.581266
205	3565.932697
206	3560.08381
207	3556.70349
208	3555.479141
209	3553.687355
210	3551.466639
211	3549.625482
212	3548.648466
213	3545.231798
214	3542.248369
215	3540.009367
216	3539.044825
217	3536.494522
218	3533.791589
219	3531.430305
220	3528.891298
221	3525.401543
222	3523.253768
223	3520.760566
224	3517.257957
225	3511.241924
226	3507.247068
227	3504.638088
228	3503.513734
229	3499.809166
230	3498.475553
231	3497.558743
232	3497.502221
233	3496.697205
