iter	Passed	Remaining
0	0	770
1	2	1041
2	3	1087
3	4	1011
4	6	1367
5	13	2162
6	13	1903
7	14	1815
8	17	1903
9	17	1773
10	18	1665
11	19	1620
12	20	1580
13	22	1551
14	22	1505
15	23	1444
16	24	1425
17	25	1405
18	26	1392
19	27	1362
20	31	1456
21	31	1414
22	35	1513
23	38	1579
24	40	1561
25	41	1545
26	45	1650
27	46	1629
28	51	1712
29	52	1691
30	55	1739
31	56	1696
32	58	1718
33	59	1678
34	59	1642
35	60	1626
36	61	1609
37	62	1574
38	66	1626
39	68	1647
40	72	1699
41	73	1683
42	74	1653
43	75	1639
44	79	1679
45	80	1666
46	83	1700
47	84	1685
48	86	1671
49	87	1656
50	92	1717
51	95	1734
52	95	1710
53	100	1764
54	103	1776
55	103	1750
56	104	1736
57	106	1723
58	106	1702
59	107	1690
60	109	1678
61	111	1687
62	112	1675
63	115	1695
64	117	1684
65	117	1668
66	122	1709
67	125	1723
68	128	1740
69	134	1785
70	136	1784
71	142	1841
72	145	1847
73	147	1846
74	150	1852
75	159	1942
76	172	2070
77	173	2056
78	174	2035
79	175	2022
80	177	2008
81	178	1994
82	179	1982
83	180	1970
84	181	1951
85	182	1939
86	183	1928
87	211	2190
88	212	2177
89	213	2163
90	215	2150
91	216	2138
92	218	2126
93	219	2113
94	219	2093
95	225	2121
96	226	2106
97	237	2183
98	241	2200
99	249	2246
100	257	2289
101	258	2276
102	259	2261
103	260	2247
104	262	2233
105	269	2269
106	271	2267
107	272	2254
108	274	2241
109	275	2228
110	282	2261
111	283	2248
112	285	2243
113	287	2230
114	288	2217
115	289	2204
116	292	2209
117	293	2196
118	296	2194
119	297	2181
120	298	2169
121	299	2157
122	301	2151
123	305	2155
124	306	2144
125	307	2132
126	310	2133
127	313	2134
128	314	2124
129	315	2112
130	317	2108
131	318	2097
132	319	2085
133	324	2094
134	327	2098
135	329	2090
136	329	2076
137	330	2065
138	332	2057
139	335	2058
140	336	2048
141	337	2038
142	341	2044
143	342	2035
144	343	2026
145	344	2017
146	346	2008
147	346	1996
148	348	1988
149	349	1979
150	350	1970
151	351	1962
152	353	1954
153	354	1945
154	355	1937
155	356	1930
156	358	1922
157	359	1915
158	360	1907
159	361	1900
160	363	1892
161	364	1885
162	365	1878
163	367	1870
164	368	1863
165	369	1856
166	371	1851
167	372	1845
168	373	1838
169	375	1831
170	376	1824
171	377	1818
172	378	1811
173	380	1804
174	381	1797
175	382	1790
176	383	1783
177	384	1776
178	385	1769
179	386	1762
180	388	1756
181	389	1750
182	390	1743
183	391	1737
184	393	1731
185	394	1725
186	395	1719
187	396	1712
188	397	1706
189	398	1700
190	400	1695
191	401	1689
192	402	1681
193	403	1675
194	404	1670
195	406	1667
196	407	1662
197	409	1657
198	410	1651
199	411	1645
200	412	1640
201	414	1636
202	415	1631
203	417	1629
204	419	1625
205	420	1622
206	422	1617
207	423	1612
208	424	1607
209	426	1602
210	427	1597
211	429	1595
212	430	1589
213	431	1584
214	434	1587
215	456	1656
216	460	1660
217	461	1655
218	462	1650
219	463	1644
220	466	1643
221	467	1638
222	468	1633
223	470	1628
224	471	1623
225	472	1618
226	473	1613
227	475	1611
228	478	1609
229	479	1605
230	480	1600
231	482	1595
232	482	1588
233	483	1581
234	484	1575
235	485	1570
236	486	1566
237	491	1573
238	498	1586
239	499	1582
240	500	1576
241	501	1571
242	503	1567
243	504	1563
244	505	1558
245	507	1554
246	519	1584
247	521	1580
248	522	1575
249	523	1569
250	525	1566
251	527	1566
252	529	1562
253	530	1558
254	531	1554
255	533	1549
256	534	1544
257	535	1540
258	536	1536
259	538	1531
260	539	1527
261	540	1523
262	541	1518
263	543	1514
264	544	1509
265	545	1505
266	546	1499
267	547	1495
268	548	1491
269	549	1486
270	550	1482
271	552	1477
272	553	1473
273	554	1469
274	555	1465
275	556	1461
276	558	1457
277	559	1452
278	560	1448
279	561	1444
280	562	1440
281	564	1436
282	565	1432
283	566	1428
284	567	1424
285	569	1420
286	570	1416
287	571	1412
288	572	1408
289	573	1404
290	574	1400
291	575	1396
292	577	1392
293	578	1388
294	579	1384
295	580	1380
296	581	1377
297	582	1373
298	584	1369
299	585	1365
300	586	1361
301	587	1358
302	588	1354
303	590	1350
304	591	1347
305	592	1343
306	593	1340
307	594	1336
308	596	1332
309	597	1329
310	598	1325
311	599	1322
312	600	1318
313	602	1315
314	603	1311
315	604	1308
316	605	1304
317	606	1301
318	608	1298
319	609	1294
320	610	1291
321	611	1287
322	612	1284
323	614	1281
324	615	1277
325	616	1274
326	617	1270
327	618	1267
328	620	1264
329	621	1261
330	622	1257
331	623	1254
332	624	1251
333	625	1247
334	626	1244
335	628	1241
336	629	1237
337	630	1234
338	631	1231
339	632	1227
340	633	1224
341	634	1221
342	636	1218
343	637	1215
344	638	1211
345	639	1208
346	640	1205
347	641	1202
348	642	1199
349	644	1196
350	645	1193
